Instrument,SessionContext,BarIndex,Time,Open,High,Low,Close,MacroState,ActiveDirection,SponsorState,SponsorConfidence,SequencePhase,SequenceAuthority,MaturityLevel,DominanceScore,DegradationScore,BalanceScore,TransitionScore,AmbiguityScore,Events,SFCStatus,ExpectedNextBehavior,InvalidationCondition
"ES","RTH",60,"2021-04-19 11:35:00",4154,4154.75,4151.75,4152.75,"Unresolved","Down","ReclaimAttempt",0.450,"R2R",0.200,"Early",0.195,0.307,0.405,0.072,0.256,"ReclaimAttempt","None","Auction unresolved. Ambiguity high. Avoid strong directional inference.","Resolved by accepted breakout, failed transition, or clear dominance reassertion."
"ES","RTH",61,"2021-04-19 11:40:00",4152.75,4153.5,4147.75,4149.25,"Directional","Down","Reasserting",0.700,"R2R",0.850,"Early",0.429,0.183,0.293,0.007,0.136,"AcceptedReclaim","None","Continuation or shallow non-dominant retrace expected.","Invalidated by failed continuation, rising overlap, or opposing authority."
"ES","RTH",62,"2021-04-19 11:45:00",4149.25,4153,4148,4151.5,"Directional","Down","Unknown",0.250,"TwoB",0.850,"Developing",0.395,0.358,0.369,0.056,0.255,"FailedContinuation","None","Continuation or shallow non-dominant retrace expected.","Invalidated by failed continuation, rising overlap, or opposing authority."
"ES","RTH",63,"2021-04-19 11:50:00",4151.5,4155,4150,4154.25,"Directional","Up","Unknown",0.250,"B2B",0.200,"Early",0.363,0.329,0.340,0.052,0.234,"","None","Continuation or shallow non-dominant retrace expected.","Invalidated by failed continuation, rising overlap, or opposing authority."
"ES","RTH",64,"2021-04-19 11:55:00",4154.25,4154.75,4152.75,4154.5,"Unresolved","Up","Unresolved",0.200,"B2B",0.430,"Early",0.234,0.543,0.413,0.098,0.346,"FailedContinuation","Candidate","Auction unresolved. Ambiguity high. Avoid strong directional inference.","Resolved by accepted breakout, failed transition, or clear dominance reassertion."
"ES","RTH",65,"2021-04-19 12:00:00",4154.25,4155,4154,4154.75,"Unresolved","Up","ReclaimAttempt",0.450,"B2B",0.670,"Developing",0.235,0.520,0.530,0.080,0.378,"LateralSeed|ReclaimAttempt","Candidate","Auction unresolved. Ambiguity high. Avoid strong directional inference.","Resolved by accepted breakout, failed transition, or clear dominance reassertion."
"ES","RTH",66,"2021-04-19 12:05:00",4154.75,4155,4152.5,4154.25,"Unresolved","Up","FailedReclaim",0.700,"TwoR",0.670,"Developing",0.196,0.578,0.547,0.133,0.428,"RejectedReclaim","Candidate","Auction unresolved. Ambiguity high. Avoid strong directional inference.","Resolved by accepted breakout, failed transition, or clear dominance reassertion."
"ES","RTH",67,"2021-04-19 12:10:00",4154.25,4156.25,4153,4153.25,"Unresolved","Down","Unresolved",0.200,"R2R",0.200,"Early",0.181,0.532,0.503,0.123,0.394,"","Candidate","Auction unresolved. Ambiguity high. Avoid strong directional inference.","Resolved by accepted breakout, failed transition, or clear dominance reassertion."
"ES","RTH",68,"2021-04-19 12:15:00",4153,4154.75,4149,4150.25,"Unresolved","Down","Unresolved",0.200,"R2R",0.430,"Early",0.166,0.539,0.463,0.113,0.362,"","Candidate","Auction unresolved. Ambiguity high. Avoid strong directional inference.","Resolved by accepted breakout, failed transition, or clear dominance reassertion."
"ES","RTH",69,"2021-04-19 12:20:00",4150.25,4151.5,4147.75,4148.75,"Unresolved","Down","Unresolved",0.200,"R2R",0.770,"Developing",0.213,0.496,0.426,0.104,0.333,"","None","Auction unresolved. Ambiguity high. Avoid strong directional inference.","Resolved by accepted breakout, failed transition, or clear dominance reassertion."
"ES","RTH",70,"2021-04-19 12:25:00",4148.5,4150.25,4146.25,4148.25,"Unresolved","Down","ReclaimAttempt",0.450,"R2R",0.770,"Developing",0.296,0.436,0.382,0.086,0.286,"ReclaimAttempt","None","Auction unresolved. Ambiguity high. Avoid strong directional inference.","Resolved by accepted breakout, failed transition, or clear dominance reassertion."
"ES","RTH",71,"2021-04-19 12:30:00",4148.25,4149,4146.5,4147.5,"Unresolved","Down","FailedReclaim",0.700,"R2R",0.770,"Developing",0.172,0.541,0.571,0.139,0.424,"LateralSeed|RejectedReclaim","Candidate","Auction unresolved. Ambiguity high. Avoid strong directional inference.","Resolved by accepted breakout, failed transition, or clear dominance reassertion."
"ES","RTH",72,"2021-04-19 12:35:00",4147.5,4149.5,4145.5,4148,"Unresolved","Down","FailedReclaim",0.600,"TwoB",0.850,"Mature",0.208,0.648,0.566,0.168,0.470,"SFCandidate","Candidate","Auction unresolved. Ambiguity high. Avoid strong directional inference.","Resolved by accepted breakout, failed transition, or clear dominance reassertion."
"ES","RTH",73,"2021-04-19 12:40:00",4147.75,4150.5,4146.75,4150,"Unresolved","Up","Unresolved",0.200,"B2B",0.200,"Early",0.192,0.596,0.521,0.154,0.432,"","Candidate","Auction unresolved. Ambiguity high. Avoid strong directional inference.","Resolved by accepted breakout, failed transition, or clear dominance reassertion."
"ES","RTH",74,"2021-04-19 12:45:00",4150,4153.75,4149.25,4153,"Unresolved","Up","Unresolved",0.200,"B2B",0.770,"Early",0.236,0.549,0.479,0.142,0.397,"","Candidate","Auction unresolved. Ambiguity high. Avoid strong directional inference.","Resolved by accepted breakout, failed transition, or clear dominance reassertion."
"ES","RTH",75,"2021-04-19 12:50:00",4153,4153.75,4147.75,4148.25,"Unresolved","Up","Unresolved",0.200,"TwoR",0.770,"Developing",0.278,0.505,0.441,0.130,0.366,"","Candidate","Auction unresolved. Ambiguity high. Avoid strong directional inference.","Resolved by accepted breakout, failed transition, or clear dominance reassertion."
"ES","RTH",76,"2021-04-19 12:55:00",4148.25,4151.5,4147,4149.75,"Unresolved","Up","ReclaimAttempt",0.450,"B2B",0.850,"Developing",0.315,0.484,0.555,0.110,0.396,"LateralSeed|ReclaimAttempt","None","Auction unresolved. Ambiguity high. Avoid strong directional inference.","Resolved by accepted breakout, failed transition, or clear dominance reassertion."
"ES","RTH",77,"2021-04-19 13:00:00",4150,4158,4149.25,4157.75,"Directional","Up","Reasserting",0.700,"B2B",0.850,"Developing",0.590,0.346,0.431,0.041,0.265,"PeakVolume|AcceptedReclaim","None","Continuation or shallow non-dominant retrace expected.","Invalidated by failed continuation, rising overlap, or opposing authority."
"ES","RTH",78,"2021-04-19 13:05:00",4157.5,4159,4155.5,4156.25,"Directional","Up","Pressured",0.650,"TwoR",0.930,"Mature",0.543,0.528,0.496,0.088,0.374,"FailedContinuation","Candidate","Continuation or shallow non-dominant retrace expected.","Invalidated by failed continuation, rising overlap, or opposing authority."
"ES","RTH",79,"2021-04-19 13:10:00",4156.5,4157.75,4155.75,4157,"Degrading","Up","Failing",0.600,"B2B",0.930,"Mature",0.499,0.696,0.557,0.131,0.474,"FailedContinuation","Candidate","Dominance still exists, but efficiency is degrading. Watch for balance or failed continuation.","Invalidated by clean dominance reassertion with efficient continuation."
"ES","RTH",80,"2021-04-19 13:15:00",4157,4158.25,4157,4158.25,"Degrading","Up","ReclaimAttempt",0.450,"B2B",0.930,"Mature",0.600,0.640,0.502,0.110,0.416,"ReclaimAttempt","Candidate","Dominance still exists, but efficiency is degrading. Watch for balance or failed continuation.","Invalidated by clean dominance reassertion with efficient continuation."
"ES","RTH",81,"2021-04-19 13:35:00",4157.5,4157.75,4155.75,4156.25,"Unresolved","Up","FailedReclaim",0.700,"TwoR",0.930,"Mature",0.319,1.000,0.662,0.242,0.673,"FailedContinuation|SFCandidate|RejectedReclaim","Candidate","Auction unresolved. Ambiguity high. Avoid strong directional inference.","Resolved by accepted breakout, failed transition, or clear dominance reassertion."
"ES","RTH",82,"2021-04-19 13:40:00",4156.5,4158,4156,4158,"Balance","Up","FailedReclaim",0.600,"B2B",0.930,"Mature",0.394,0.940,0.609,0.222,0.619,"","Candidate","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
"ES","RTH",83,"2021-04-19 13:45:00",4157.75,4158.25,4157.5,4157.5,"Unresolved","Up","Unresolved",0.200,"TwoR",0.930,"Mature",0.251,1.000,0.760,0.235,0.729,"LateralSeed|SFCandidate","Candidate","Auction unresolved. Ambiguity high. Avoid strong directional inference.","Resolved by accepted breakout, failed transition, or clear dominance reassertion."
"ES","RTH",84,"2021-04-19 13:50:00",4157.5,4157.5,4156.75,4157,"Unresolved","Down","Unresolved",0.200,"R2R",0.200,"Early",0.175,0.920,0.699,0.207,0.671,"","Candidate","Auction unresolved. Ambiguity high. Avoid strong directional inference.","Resolved by accepted breakout, failed transition, or clear dominance reassertion."
