Instrument,SessionContext,TotalBars,Transition,Count
ES,ETH,900,Unresolved->Balance,33
ES,ETH,900,Balance->Balance,24
ES,ETH,900,Balance->Unresolved,34
ES,ETH,900,Degrading->Directional,5
ES,ETH,900,Balance->Degrading,8
ES,ETH,900,Degrading->Balance,9
ES,ETH,950,Unknown->Unknown,4
ES,ETH,950,Unknown->Unresolved,1
ES,ETH,950,Unresolved->Unresolved,571
ES,ETH,950,Unresolved->Directional,18
ES,ETH,950,Directional->Directional,36
ES,ETH,950,Directional->Unresolved,5
ES,ETH,950,Unresolved->Degrading,49
ES,ETH,950,Degrading->Unresolved,60
ES,ETH,950,Directional->Degrading,17
ES,ETH,950,Degrading->Degrading,73
ES,ETH,950,Unresolved->Balance,34
ES,ETH,950,Balance->Balance,24
ES,ETH,950,Balance->Unresolved,35
ES,ETH,950,Degrading->Directional,5
ES,ETH,950,Balance->Degrading,8
ES,ETH,950,Degrading->Balance,9
ES,ETH,1000,Unknown->Unknown,4
ES,ETH,1000,Unknown->Unresolved,1
ES,ETH,1000,Unresolved->Unresolved,587
ES,ETH,1000,Unresolved->Directional,18
ES,ETH,1000,Directional->Directional,38
ES,ETH,1000,Directional->Unresolved,5
ES,ETH,1000,Unresolved->Degrading,52
ES,ETH,1000,Degrading->Unresolved,65
ES,ETH,1000,Directional->Degrading,18
ES,ETH,1000,Degrading->Degrading,76
ES,ETH,1000,Unresolved->Balance,40
ES,ETH,1000,Balance->Balance,29
ES,ETH,1000,Balance->Unresolved,39
ES,ETH,1000,Degrading->Directional,5
ES,ETH,1000,Balance->Degrading,11
ES,ETH,1000,Degrading->Balance,11
ES,ETH,1050,Unknown->Unknown,4
ES,ETH,1050,Unknown->Unresolved,1
ES,ETH,1050,Unresolved->Unresolved,623
ES,ETH,1050,Unresolved->Directional,18
ES,ETH,1050,Directional->Directional,38
ES,ETH,1050,Directional->Unresolved,5
ES,ETH,1050,Unresolved->Degrading,52
ES,ETH,1050,Degrading->Unresolved,66
ES,ETH,1050,Directional->Degrading,18
ES,ETH,1050,Degrading->Degrading,76
ES,ETH,1050,Unresolved->Balance,45
ES,ETH,1050,Balance->Balance,31
ES,ETH,1050,Balance->Unresolved,44
ES,ETH,1050,Degrading->Directional,5
ES,ETH,1050,Balance->Degrading,12
ES,ETH,1050,Degrading->Balance,11
ES,ETH,1100,Unknown->Unknown,4
ES,ETH,1100,Unknown->Unresolved,1
ES,ETH,1100,Unresolved->Unresolved,640
ES,ETH,1100,Unresolved->Directional,21
ES,ETH,1100,Directional->Directional,43
ES,ETH,1100,Directional->Unresolved,6
ES,ETH,1100,Unresolved->Degrading,52
ES,ETH,1100,Degrading->Unresolved,67
ES,ETH,1100,Directional->Degrading,22
ES,ETH,1100,Degrading->Degrading,83
ES,ETH,1100,Unresolved->Balance,48
ES,ETH,1100,Balance->Balance,34
ES,ETH,1100,Balance->Unresolved,47
ES,ETH,1100,Degrading->Directional,7
ES,ETH,1100,Balance->Degrading,12
ES,ETH,1100,Degrading->Balance,12
ES,ETH,1150,Unknown->Unknown,4
ES,ETH,1150,Unknown->Unresolved,1
ES,ETH,1150,Unresolved->Unresolved,676
ES,ETH,1150,Unresolved->Directional,21
ES,ETH,1150,Directional->Directional,43
ES,ETH,1150,Directional->Unresolved,6
ES,ETH,1150,Unresolved->Degrading,53
ES,ETH,1150,Degrading->Unresolved,68
ES,ETH,1150,Directional->Degrading,22
ES,ETH,1150,Degrading->Degrading,83
ES,ETH,1150,Unresolved->Balance,51
ES,ETH,1150,Balance->Balance,37
ES,ETH,1150,Balance->Unresolved,51
ES,ETH,1150,Degrading->Directional,7
ES,ETH,1150,Balance->Degrading,13
ES,ETH,1150,Degrading->Balance,13
ES,ETH,1200,Unknown->Unknown,4
ES,ETH,1200,Unknown->Unresolved,1
ES,ETH,1200,Unresolved->Unresolved,699
ES,ETH,1200,Unresolved->Directional,21
ES,ETH,1200,Directional->Directional,43
ES,ETH,1200,Directional->Unresolved,6
ES,ETH,1200,Unresolved->Degrading,54
ES,ETH,1200,Degrading->Unresolved,69
ES,ETH,1200,Directional->Degrading,22
ES,ETH,1200,Degrading->Degrading,89
ES,ETH,1200,Unresolved->Balance,56
ES,ETH,1200,Balance->Balance,42
ES,ETH,1200,Balance->Unresolved,56
ES,ETH,1200,Degrading->Directional,7
ES,ETH,1200,Balance->Degrading,15
ES,ETH,1200,Degrading->Balance,15
ES,ETH,1250,Unknown->Unknown,4
ES,ETH,1250,Unknown->Unresolved,1
ES,ETH,1250,Unresolved->Unresolved,729
ES,ETH,1250,Unresolved->Directional,23
ES,ETH,1250,Directional->Directional,47
ES,ETH,1250,Directional->Unresolved,6
ES,ETH,1250,Unresolved->Degrading,55
ES,ETH,1250,Degrading->Unresolved,72
ES,ETH,1250,Directional->Degrading,24
ES,ETH,1250,Degrading->Degrading,90
ES,ETH,1250,Unresolved->Balance,57
ES,ETH,1250,Balance->Balance,44
ES,ETH,1250,Balance->Unresolved,57
ES,ETH,1250,Degrading->Directional,8
ES,ETH,1250,Balance->Degrading,16
ES,ETH,1250,Degrading->Balance,15
ES,ETH,1250,Directional->Balance,1
ES,ETH,1300,Unknown->Unknown,4
ES,ETH,1300,Unknown->Unresolved,1
ES,ETH,1300,Unresolved->Unresolved,759
ES,ETH,1300,Unresolved->Directional,25
ES,ETH,1300,Directional->Directional,47
ES,ETH,1300,Directional->Unresolved,6
ES,ETH,1300,Unresolved->Degrading,56
ES,ETH,1300,Degrading->Unresolved,75
ES,ETH,1300,Directional->Degrading,26
