Instrument,SessionContext,TotalBars,EntryPath,Occurrences,PersistGE2,PersistGE3,PersistGE5,PersistGE8
ES,RTH,300,Balance->Unresolved,12,66.67,58.33,25.00,25.00
ES,RTH,300,Unresolved->Degrading,9,33.33,22.22,11.11,0.00
ES,RTH,300,Degrading->Directional,1,0.00,0.00,0.00,0.00
ES,RTH,350,Unknown->Unresolved,2,100.00,100.00,50.00,50.00
ES,RTH,350,Unresolved->Unknown,1,100.00,100.00,0.00,0.00
ES,RTH,350,Unresolved->Directional,8,75.00,37.50,25.00,12.50
ES,RTH,350,Directional->Degrading,10,30.00,30.00,20.00,0.00
ES,RTH,350,Degrading->Unresolved,15,66.67,40.00,40.00,20.00
ES,RTH,350,Degrading->Balance,4,0.00,0.00,0.00,0.00
ES,RTH,350,Balance->Degrading,3,33.33,0.00,0.00,0.00
ES,RTH,350,Unresolved->Balance,14,35.71,7.14,7.14,0.00
ES,RTH,350,Balance->Unresolved,15,73.33,66.67,40.00,26.67
ES,RTH,350,Unresolved->Degrading,9,33.33,22.22,11.11,0.00
ES,RTH,350,Degrading->Directional,3,33.33,33.33,0.00,0.00
ES,RTH,350,Directional->Unresolved,1,100.00,0.00,0.00,0.00
ES,RTH,400,Unknown->Unresolved,2,100.00,100.00,50.00,50.00
ES,RTH,400,Unresolved->Unknown,1,100.00,100.00,0.00,0.00
ES,RTH,400,Unresolved->Directional,8,75.00,37.50,25.00,12.50
ES,RTH,400,Directional->Degrading,10,30.00,30.00,20.00,0.00
ES,RTH,400,Degrading->Unresolved,17,70.59,41.18,41.18,23.53
ES,RTH,400,Degrading->Balance,5,0.00,0.00,0.00,0.00
ES,RTH,400,Balance->Degrading,4,50.00,0.00,0.00,0.00
ES,RTH,400,Unresolved->Balance,19,36.84,10.53,5.26,0.00
ES,RTH,400,Balance->Unresolved,19,78.95,68.42,36.84,21.05
ES,RTH,400,Unresolved->Degrading,11,36.36,18.18,9.09,0.00
ES,RTH,400,Degrading->Directional,3,33.33,33.33,0.00,0.00
ES,RTH,400,Directional->Unresolved,1,100.00,0.00,0.00,0.00
