Instrument,SessionContext,TotalBars,Prefix,Quadruplet,Count,ConditionalProbability
ES,RTH,100,Directional->Degrading->Unresolved,Directional->Degrading->Unresolved->Unresolved,2,100.00
ES,RTH,100,Degrading->Unresolved->Unresolved,Degrading->Unresolved->Unresolved->Unresolved,2,66.67
ES,RTH,100,Unresolved->Directional->Directional,Unresolved->Directional->Directional->Directional,1,50.00
ES,RTH,100,Directional->Directional->Directional,Directional->Directional->Directional->Directional,3,75.00
ES,RTH,100,Directional->Directional->Directional,Directional->Directional->Directional->Degrading,1,25.00
ES,RTH,100,Directional->Directional->Degrading,Directional->Directional->Degrading->Balance,1,50.00
ES,RTH,100,Directional->Degrading->Balance,Directional->Degrading->Balance->Degrading,1,100.00
ES,RTH,100,Degrading->Balance->Degrading,Degrading->Balance->Degrading->Degrading,1,100.00
ES,RTH,100,Balance->Degrading->Degrading,Balance->Degrading->Degrading->Unresolved,1,100.00
ES,RTH,100,Degrading->Degrading->Unresolved,Degrading->Degrading->Unresolved->Unresolved,1,100.00
ES,RTH,100,Unresolved->Unresolved->Directional,Unresolved->Unresolved->Directional->Degrading,1,33.33
ES,RTH,100,Unresolved->Directional->Degrading,Unresolved->Directional->Degrading->Unresolved,1,100.00
ES,RTH,100,Degrading->Unresolved->Unresolved,Degrading->Unresolved->Unresolved->Balance,1,33.33
ES,RTH,100,Unresolved->Unresolved->Balance,Unresolved->Unresolved->Balance->Unresolved,1,100.00
ES,RTH,100,Unresolved->Balance->Unresolved,Unresolved->Balance->Unresolved->Unresolved,1,100.00
ES,RTH,100,Balance->Unresolved->Unresolved,Balance->Unresolved->Unresolved->Unresolved,1,100.00
ES,RTH,150,Unknown->Unknown->Unknown,Unknown->Unknown->Unknown->Unresolved,2,100.00
ES,RTH,150,Unknown->Unknown->Unresolved,Unknown->Unknown->Unresolved->Unresolved,2,100.00
ES,RTH,150,Unknown->Unresolved->Unresolved,Unknown->Unresolved->Unresolved->Unresolved,2,100.00
ES,RTH,150,Unresolved->Unresolved->Unresolved,Unresolved->Unresolved->Unresolved->Unresolved,73,90.12
ES,RTH,150,Unresolved->Unresolved->Unresolved,Unresolved->Unresolved->Unresolved->Unknown,1,1.23
ES,RTH,150,Unresolved->Unresolved->Unknown,Unresolved->Unresolved->Unknown->Unknown,1,100.00
ES,RTH,150,Unresolved->Unknown->Unknown,Unresolved->Unknown->Unknown->Unknown,1,100.00
ES,RTH,150,Unresolved->Unresolved->Unresolved,Unresolved->Unresolved->Unresolved->Directional,4,4.94
ES,RTH,150,Unresolved->Unresolved->Directional,Unresolved->Unresolved->Directional->Directional,3,75.00
ES,RTH,150,Unresolved->Directional->Directional,Unresolved->Directional->Directional->Degrading,2,50.00
ES,RTH,150,Directional->Directional->Degrading,Directional->Directional->Degrading->Unresolved,2,50.00
ES,RTH,150,Directional->Degrading->Unresolved,Directional->Degrading->Unresolved->Unresolved,2,50.00
ES,RTH,150,Degrading->Unresolved->Unresolved,Degrading->Unresolved->Unresolved->Unresolved,3,75.00
ES,RTH,150,Unresolved->Directional->Directional,Unresolved->Directional->Directional->Directional,2,50.00
ES,RTH,150,Directional->Directional->Directional,Directional->Directional->Directional->Directional,8,80.00
ES,RTH,150,Directional->Directional->Directional,Directional->Directional->Directional->Degrading,2,20.00
ES,RTH,150,Directional->Directional->Degrading,Directional->Directional->Degrading->Balance,1,25.00
ES,RTH,150,Directional->Degrading->Balance,Directional->Degrading->Balance->Degrading,1,100.00
ES,RTH,150,Degrading->Balance->Degrading,Degrading->Balance->Degrading->Degrading,1,100.00
ES,RTH,150,Balance->Degrading->Degrading,Balance->Degrading->Degrading->Unresolved,1,100.00
ES,RTH,150,Degrading->Degrading->Unresolved,Degrading->Degrading->Unresolved->Unresolved,1,50.00
ES,RTH,150,Unresolved->Unresolved->Directional,Unresolved->Unresolved->Directional->Degrading,1,25.00
ES,RTH,150,Unresolved->Directional->Degrading,Unresolved->Directional->Degrading->Unresolved,1,100.00
ES,RTH,150,Degrading->Unresolved->Unresolved,Degrading->Unresolved->Unresolved->Balance,1,25.00
ES,RTH,150,Unresolved->Unresolved->Balance,Unresolved->Unresolved->Balance->Unresolved,2,100.00
ES,RTH,150,Unresolved->Balance->Unresolved,Unresolved->Balance->Unresolved->Unresolved,3,75.00
ES,RTH,150,Balance->Unresolved->Unresolved,Balance->Unresolved->Unresolved->Unresolved,3,100.00
ES,RTH,150,Unresolved->Unresolved->Unresolved,Unresolved->Unresolved->Unresolved->Degrading,1,1.23
ES,RTH,150,Unresolved->Unresolved->Degrading,Unresolved->Unresolved->Degrading->Directional,1,100.00
ES,RTH,150,Unresolved->Degrading->Directional,Unresolved->Degrading->Directional->Degrading,1,100.00
ES,RTH,150,Degrading->Directional->Degrading,Degrading->Directional->Degrading->Unresolved,1,100.00
ES,RTH,150,Directional->Degrading->Unresolved,Directional->Degrading->Unresolved->Degrading,1,25.00
ES,RTH,150,Degrading->Unresolved->Degrading,Degrading->Unresolved->Degrading->Unresolved,1,100.00
ES,RTH,150,Unresolved->Degrading->Unresolved,Unresolved->Degrading->Unresolved->Unresolved,1,100.00
ES,RTH,150,Unresolved->Unresolved->Unresolved,Unresolved->Unresolved->Unresolved->Balance,2,2.47
ES,RTH,150,Directional->Degrading->Unresolved,Directional->Degrading->Unresolved->Directional,1,25.00
ES,RTH,150,Degrading->Unresolved->Directional,Degrading->Unresolved->Directional->Directional,1,100.00
ES,RTH,150,Directional->Directional->Degrading,Directional->Directional->Degrading->Degrading,1,25.00
ES,RTH,150,Directional->Degrading->Degrading,Directional->Degrading->Degrading->Degrading,1,100.00
ES,RTH,150,Degrading->Degrading->Degrading,Degrading->Degrading->Degrading->Degrading,3,75.00
ES,RTH,150,Degrading->Degrading->Degrading,Degrading->Degrading->Degrading->Unresolved,1,25.00
