Instrument,SessionContext,TotalBars,FromState,Transition,ProbabilityPct
ES,ETH,150,Degrading,Degrading->Directional,6.67
ES,ETH,200,Unknown,Unknown->Unknown,66.67
ES,ETH,200,Unknown,Unknown->Unresolved,33.33
ES,ETH,200,Unresolved,Unresolved->Unresolved,84.56
ES,ETH,200,Unresolved,Unresolved->Unknown,0.74
ES,ETH,200,Unresolved,Unresolved->Directional,3.68
ES,ETH,200,Directional,Directional->Directional,70.00
ES,ETH,200,Directional,Directional->Degrading,30.00
ES,ETH,200,Degrading,Degrading->Unresolved,44.00
ES,ETH,200,Degrading,Degrading->Balance,4.00
ES,ETH,200,Balance,Balance->Degrading,8.33
ES,ETH,200,Degrading,Degrading->Degrading,48.00
ES,ETH,200,Unresolved,Unresolved->Balance,6.62
ES,ETH,200,Balance,Balance->Unresolved,75.00
ES,ETH,200,Unresolved,Unresolved->Degrading,4.41
ES,ETH,200,Degrading,Degrading->Directional,4.00
ES,ETH,200,Balance,Balance->Balance,16.67
ES,ETH,250,Unknown,Unknown->Unknown,66.67
ES,ETH,250,Unknown,Unknown->Unresolved,33.33
ES,ETH,250,Unresolved,Unresolved->Unresolved,88.04
ES,ETH,250,Unresolved,Unresolved->Unknown,0.54
ES,ETH,250,Unresolved,Unresolved->Directional,2.72
ES,ETH,250,Directional,Directional->Directional,70.00
ES,ETH,250,Directional,Directional->Degrading,30.00
ES,ETH,250,Degrading,Degrading->Unresolved,44.00
ES,ETH,250,Degrading,Degrading->Balance,4.00
ES,ETH,250,Balance,Balance->Degrading,7.14
ES,ETH,250,Degrading,Degrading->Degrading,48.00
ES,ETH,250,Unresolved,Unresolved->Balance,5.43
ES,ETH,250,Balance,Balance->Unresolved,71.43
ES,ETH,250,Unresolved,Unresolved->Degrading,3.26
ES,ETH,250,Degrading,Degrading->Directional,4.00
ES,ETH,250,Balance,Balance->Balance,21.43
ES,ETH,300,Unknown,Unknown->Unknown,66.67
ES,ETH,300,Unknown,Unknown->Unresolved,33.33
ES,ETH,300,Unresolved,Unresolved->Unresolved,87.10
ES,ETH,300,Unresolved,Unresolved->Unknown,0.46
ES,ETH,300,Unresolved,Unresolved->Directional,2.30
ES,ETH,300,Directional,Directional->Directional,70.00
ES,ETH,300,Directional,Directional->Degrading,30.00
ES,ETH,300,Degrading,Degrading->Unresolved,43.75
ES,ETH,300,Degrading,Degrading->Balance,9.38
ES,ETH,300,Balance,Balance->Degrading,12.50
ES,ETH,300,Degrading,Degrading->Degrading,43.75
ES,ETH,300,Unresolved,Unresolved->Balance,5.99
ES,ETH,300,Balance,Balance->Unresolved,54.17
ES,ETH,300,Unresolved,Unresolved->Degrading,4.15
ES,ETH,300,Degrading,Degrading->Directional,3.13
ES,ETH,300,Balance,Balance->Balance,33.33
ES,ETH,350,Unknown,Unknown->Unknown,66.67
ES,ETH,350,Unknown,Unknown->Unresolved,33.33
ES,ETH,350,Unresolved,Unresolved->Unresolved,86.48
ES,ETH,350,Unresolved,Unresolved->Unknown,0.41
ES,ETH,350,Unresolved,Unresolved->Directional,3.28
ES,ETH,350,Directional,Directional->Directional,63.33
ES,ETH,350,Directional,Directional->Degrading,33.33
ES,ETH,350,Degrading,Degrading->Unresolved,34.88
ES,ETH,350,Degrading,Degrading->Balance,9.30
ES,ETH,350,Balance,Balance->Degrading,11.54
ES,ETH,350,Degrading,Degrading->Degrading,48.84
ES,ETH,350,Unresolved,Unresolved->Balance,6.15
ES,ETH,350,Balance,Balance->Unresolved,57.69
ES,ETH,350,Unresolved,Unresolved->Degrading,3.69
ES,ETH,350,Degrading,Degrading->Directional,6.98
ES,ETH,350,Balance,Balance->Balance,30.77
ES,ETH,350,Directional,Directional->Unresolved,3.33
ES,ETH,400,Unknown,Unknown->Unknown,66.67
ES,ETH,400,Unknown,Unknown->Unresolved,33.33
ES,ETH,400,Unresolved,Unresolved->Unresolved,86.02
ES,ETH,400,Unresolved,Unresolved->Unknown,0.36
ES,ETH,400,Unresolved,Unresolved->Directional,2.87
ES,ETH,400,Directional,Directional->Directional,63.33
ES,ETH,400,Directional,Directional->Degrading,33.33
ES,ETH,400,Degrading,Degrading->Unresolved,35.42
ES,ETH,400,Degrading,Degrading->Balance,10.42
ES,ETH,400,Balance,Balance->Degrading,11.11
ES,ETH,400,Degrading,Degrading->Degrading,47.92
ES,ETH,400,Unresolved,Unresolved->Balance,6.81
ES,ETH,400,Balance,Balance->Unresolved,55.56
ES,ETH,400,Unresolved,Unresolved->Degrading,3.94
ES,ETH,400,Degrading,Degrading->Directional,6.25
ES,ETH,400,Balance,Balance->Balance,33.33
ES,ETH,400,Directional,Directional->Unresolved,3.33
