Instrument,SessionContext,TotalBars,Quadruplet,Count
ES,RTH,400,Degrading->Unresolved->Unresolved->Unresolved,7
ES,RTH,400,Unresolved->Directional->Directional->Directional,3
ES,RTH,400,Directional->Directional->Directional->Directional,8
ES,RTH,400,Directional->Directional->Directional->Degrading,3
ES,RTH,400,Directional->Directional->Degrading->Balance,1
ES,RTH,400,Directional->Degrading->Balance->Degrading,1
ES,RTH,400,Degrading->Balance->Degrading->Degrading,2
ES,RTH,400,Balance->Degrading->Degrading->Unresolved,2
ES,RTH,400,Degrading->Degrading->Unresolved->Unresolved,4
ES,RTH,400,Unresolved->Unresolved->Directional->Degrading,2
ES,RTH,400,Unresolved->Directional->Degrading->Unresolved,1
ES,RTH,400,Degrading->Unresolved->Unresolved->Balance,3
ES,RTH,400,Unresolved->Unresolved->Balance->Unresolved,10
ES,RTH,400,Unresolved->Balance->Unresolved->Unresolved,10
ES,RTH,400,Balance->Unresolved->Unresolved->Unresolved,14
ES,RTH,400,Unresolved->Unresolved->Unresolved->Degrading,5
ES,RTH,400,Unresolved->Unresolved->Degrading->Directional,1
ES,RTH,400,Unresolved->Degrading->Directional->Degrading,1
ES,RTH,400,Degrading->Directional->Degrading->Unresolved,1
ES,RTH,400,Directional->Degrading->Unresolved->Degrading,1
ES,RTH,400,Degrading->Unresolved->Degrading->Unresolved,2
ES,RTH,400,Unresolved->Degrading->Unresolved->Unresolved,5
ES,RTH,400,Unresolved->Unresolved->Unresolved->Balance,10
ES,RTH,400,Directional->Degrading->Unresolved->Directional,1
ES,RTH,400,Degrading->Unresolved->Directional->Directional,1
ES,RTH,400,Directional->Directional->Degrading->Degrading,2
ES,RTH,400,Directional->Degrading->Degrading->Degrading,3
ES,RTH,400,Degrading->Degrading->Degrading->Degrading,9
ES,RTH,400,Degrading->Degrading->Degrading->Unresolved,3
ES,RTH,400,Degrading->Degrading->Unresolved->Balance,1
ES,RTH,400,Degrading->Unresolved->Balance->Unresolved,1
ES,RTH,400,Unresolved->Balance->Unresolved->Balance,2
ES,RTH,400,Balance->Unresolved->Balance->Unresolved,1
ES,RTH,400,Unresolved->Unresolved->Balance->Balance,5
ES,RTH,400,Unresolved->Balance->Balance->Unresolved,5
ES,RTH,400,Balance->Balance->Unresolved->Degrading,1
ES,RTH,400,Balance->Unresolved->Degrading->Degrading,1
ES,RTH,400,Unresolved->Degrading->Degrading->Degrading,2
ES,RTH,400,Degrading->Degrading->Unresolved->Degrading,1
ES,RTH,400,Unresolved->Unresolved->Degrading->Degrading,2
ES,RTH,400,Unresolved->Degrading->Degrading->Unresolved,1
ES,RTH,400,Degrading->Unresolved->Unresolved->Degrading,2
ES,RTH,400,Unresolved->Unresolved->Degrading->Unresolved,4
ES,RTH,400,Balance->Balance->Unresolved->Unresolved,5
ES,RTH,400,Balance->Unresolved->Unresolved->Balance,2
ES,RTH,400,Balance->Unresolved->Balance->Balance,2
ES,RTH,400,Unresolved->Degrading->Unresolved->Degrading,1
ES,RTH,400,Degrading->Unresolved->Degrading->Degrading,1
ES,RTH,400,Degrading->Degrading->Degrading->Balance,1
ES,RTH,400,Degrading->Degrading->Balance->Unresolved,1
ES,RTH,400,Degrading->Balance->Unresolved->Balance,1
ES,RTH,400,Unresolved->Balance->Balance->Balance,2
ES,RTH,400,Balance->Balance->Balance->Balance,3
ES,RTH,400,Balance->Balance->Balance->Degrading,1
ES,RTH,400,Balance->Balance->Degrading->Balance,1
ES,RTH,400,Balance->Degrading->Balance->Degrading,1
ES,RTH,400,Degrading->Balance->Degrading->Unresolved,1
ES,RTH,400,Balance->Degrading->Unresolved->Unresolved,1
ES,RTH,400,Directional->Directional->Directional->Unresolved,1
ES,RTH,400,Directional->Directional->Unresolved->Unresolved,1
ES,RTH,400,Directional->Unresolved->Unresolved->Directional,1
ES,RTH,400,Degrading->Degrading->Degrading->Directional,1
ES,RTH,400,Degrading->Degrading->Directional->Directional,1
ES,RTH,400,Degrading->Directional->Directional->Directional,1
ES,RTH,400,Directional->Directional->Degrading->Directional,1
ES,RTH,400,Directional->Degrading->Directional->Degrading,1
ES,RTH,400,Degrading->Directional->Degrading->Balance,1
ES,RTH,400,Directional->Degrading->Balance->Unresolved,1
ES,RTH,400,Degrading->Balance->Unresolved->Unresolved,1
ES,RTH,400,Unresolved->Directional->Degrading->Degrading,1
ES,RTH,400,Balance->Balance->Balance->Unresolved,1
ES,RTH,400,Unresolved->Degrading->Degrading->Balance,1
ES,RTH,400,Degrading->Degrading->Balance->Degrading,1
