Instrument,SessionContext,TotalBars,Transition,Entries,MeanPriorRunLength,MeanSponsorConfidence,MaxSponsorConfidence,MeanDominanceScore,MeanDegradationScore,MeanBalanceScore,EventCount,MeanCompressionScore,MeanExpansionPressure,MeanStructuralCompression,MeanEntropicCompression
ES,RTH,250,Unknown->Unresolved,2,3.00,0.250,0.250,0.122,0.066,0.074,4,0.352,0.297,0.458,0.214
ES,RTH,250,Unresolved->Unknown,1,4.00,0.200,0.200,0.256,0.000,0.000,0,0.193,0.447,0.446,0.130
ES,RTH,250,Unresolved->Directional,5,15.20,0.395,0.800,0.186,0.583,0.381,37,0.319,0.409,0.446,0.461
ES,RTH,250,Directional->Degrading,6,3.33,0.644,0.700,0.505,0.437,0.273,6,0.307,0.584,0.478,0.337
ES,RTH,250,Degrading->Unresolved,11,2.09,0.546,0.717,0.385,0.769,0.447,22,0.386,0.464,0.444,0.579
ES,RTH,250,Degrading->Balance,1,1.00,0.600,0.600,0.414,0.690,0.514,2,0.558,0.456,0.579,0.585
ES,RTH,250,Balance->Degrading,1,1.00,0.700,0.700,0.331,0.975,0.612,2,0.422,0.542,0.536,0.744
ES,RTH,250,Unresolved->Balance,10,3.90,0.376,0.700,0.091,0.880,0.609,34,0.388,0.288,0.451,0.695
ES,RTH,250,Balance->Unresolved,10,1.30,0.530,0.700,0.078,0.860,0.634,13,0.383,0.268,0.451,0.674
ES,RTH,250,Unresolved->Degrading,6,3.00,0.312,0.800,0.237,0.901,0.548,14,0.364,0.435,0.459,0.676
ES,RTH,250,Degrading->Directional,1,1.00,0.450,0.450,0.319,0.663,0.484,1,0.444,0.405,0.519,0.556
ES,RTH,300,Unknown->Unresolved,2,3.00,0.250,0.250,0.122,0.066,0.074,4,0.352,0.297,0.458,0.214
ES,RTH,300,Unresolved->Unknown,1,4.00,0.200,0.200,0.256,0.000,0.000,0,0.193,0.447,0.446,0.130
ES,RTH,300,Unresolved->Directional,5,15.20,0.395,0.800,0.186,0.583,0.381,37,0.319,0.409,0.446,0.461
ES,RTH,300,Directional->Degrading,6,3.33,0.644,0.700,0.505,0.437,0.273,6,0.307,0.584,0.478,0.337
ES,RTH,300,Degrading->Unresolved,14,1.86,0.543,0.717,0.387,0.777,0.458,24,0.377,0.484,0.458,0.578
ES,RTH,300,Degrading->Balance,3,1.67,0.594,0.600,0.391,0.737,0.527,4,0.491,0.450,0.560,0.589
ES,RTH,300,Balance->Degrading,3,2.33,0.443,0.700,0.325,0.953,0.638,6,0.446,0.481,0.543,0.712
ES,RTH,300,Unresolved->Balance,13,3.85,0.367,0.700,0.105,0.878,0.624,43,0.396,0.301,0.468,0.690
ES,RTH,300,Balance->Unresolved,13,1.31,0.506,0.700,0.089,0.854,0.644,17,0.391,0.286,0.466,0.670
ES,RTH,300,Unresolved->Degrading,9,8.00,0.371,0.800,0.230,0.848,0.536,49,0.379,0.400,0.455,0.637
ES,RTH,300,Degrading->Directional,1,1.00,0.450,0.450,0.319,0.663,0.484,1,0.444,0.405,0.519,0.556
ES,RTH,350,Unknown->Unresolved,2,3.00,0.250,0.250,0.122,0.066,0.074,4,0.352,0.297,0.458,0.214
ES,RTH,350,Unresolved->Unknown,1,4.00,0.200,0.200,0.256,0.000,0.000,0,0.193,0.447,0.446,0.130
ES,RTH,350,Unresolved->Directional,8,13.75,0.369,0.800,0.193,0.587,0.394,54,0.347,0.394,0.449,0.472
ES,RTH,350,Directional->Degrading,10,2.70,0.632,0.700,0.567,0.449,0.270,11,0.295,0.612,0.466,0.333
ES,RTH,350,Degrading->Unresolved,15,2.13,0.546,0.717,0.393,0.773,0.453,32,0.375,0.487,0.455,0.574
ES,RTH,350,Degrading->Balance,4,1.50,0.621,0.700,0.423,0.749,0.494,6,0.474,0.447,0.515,0.601
ES,RTH,350,Balance->Degrading,3,2.33,0.443,0.700,0.325,0.953,0.638,6,0.446,0.481,0.543,0.712
ES,RTH,350,Unresolved->Balance,15,3.87,0.367,0.700,0.114,0.890,0.629,51,0.403,0.307,0.475,0.698
