Instrument,SessionContext,TotalBars,Transition,Entries,MeanPriorRunLength,MaxPriorRunLength
ES,ETH,1000,Unresolved->Degrading,50,5.56,52
ES,ETH,1000,Degrading->Unresolved,63,1.86,6
ES,ETH,1000,Directional->Degrading,19,2.58,8
ES,ETH,1000,Unresolved->Balance,38,3.97,15
ES,ETH,1000,Balance->Unresolved,38,1.55,7
ES,ETH,1000,Degrading->Directional,5,2.00,3
ES,ETH,1000,Balance->Degrading,11,1.73,5
ES,ETH,1000,Degrading->Balance,12,2.50,8
ES,ETH,1050,Unknown->Unresolved,1,5.00,5
ES,ETH,1050,Unresolved->Directional,19,14.05,54
ES,ETH,1050,Directional->Unresolved,5,2.60,7
ES,ETH,1050,Unresolved->Degrading,50,5.56,52
ES,ETH,1050,Degrading->Unresolved,64,1.84,6
ES,ETH,1050,Directional->Degrading,19,2.58,8
ES,ETH,1050,Unresolved->Balance,43,3.98,15
ES,ETH,1050,Balance->Unresolved,43,1.56,7
ES,ETH,1050,Degrading->Directional,5,2.00,3
ES,ETH,1050,Balance->Degrading,12,1.67,5
ES,ETH,1050,Degrading->Balance,12,2.50,8
ES,ETH,1100,Unknown->Unresolved,1,5.00,5
ES,ETH,1100,Unresolved->Directional,22,13.68,54
ES,ETH,1100,Directional->Unresolved,6,2.67,7
ES,ETH,1100,Unresolved->Degrading,50,5.56,52
ES,ETH,1100,Degrading->Unresolved,65,1.91,6
ES,ETH,1100,Directional->Degrading,23,2.43,8
ES,ETH,1100,Unresolved->Balance,46,3.93,15
ES,ETH,1100,Balance->Unresolved,46,1.52,7
ES,ETH,1100,Degrading->Directional,7,2.00,3
ES,ETH,1100,Balance->Degrading,12,1.67,5
ES,ETH,1100,Degrading->Balance,13,2.38,8
ES,ETH,1150,Unknown->Unresolved,1,5.00,5
ES,ETH,1150,Unresolved->Directional,22,13.68,54
ES,ETH,1150,Directional->Unresolved,6,2.67,7
ES,ETH,1150,Unresolved->Degrading,51,5.49,52
ES,ETH,1150,Degrading->Unresolved,66,1.89,6
ES,ETH,1150,Directional->Degrading,23,2.43,8
ES,ETH,1150,Unresolved->Balance,49,3.90,15
ES,ETH,1150,Balance->Unresolved,50,1.58,7
ES,ETH,1150,Degrading->Directional,7,2.00,3
ES,ETH,1150,Balance->Degrading,13,1.69,5
ES,ETH,1150,Degrading->Balance,14,2.29,8
ES,ETH,1200,Unknown->Unresolved,1,5.00,5
ES,ETH,1200,Unresolved->Directional,22,13.68,54
ES,ETH,1200,Directional->Unresolved,6,2.67,7
ES,ETH,1200,Unresolved->Degrading,52,6.17,52
ES,ETH,1200,Degrading->Unresolved,67,1.96,6
ES,ETH,1200,Directional->Degrading,23,2.43,8
ES,ETH,1200,Unresolved->Balance,54,3.67,15
ES,ETH,1200,Balance->Unresolved,55,1.60,7
ES,ETH,1200,Degrading->Directional,7,2.00,3
ES,ETH,1200,Balance->Degrading,15,1.67,5
ES,ETH,1200,Degrading->Balance,16,2.19,8
ES,ETH,1250,Unknown->Unresolved,1,5.00,5
ES,ETH,1250,Unresolved->Directional,24,14.21,54
ES,ETH,1250,Directional->Unresolved,6,2.67,7
ES,ETH,1250,Unresolved->Degrading,53,6.09,52
ES,ETH,1250,Degrading->Unresolved,70,1.93,6
ES,ETH,1250,Directional->Degrading,25,2.32,8
ES,ETH,1250,Unresolved->Balance,55,3.62,15
ES,ETH,1250,Balance->Unresolved,56,1.63,7
ES,ETH,1250,Degrading->Directional,8,1.88,3
ES,ETH,1250,Balance->Degrading,16,1.63,5
ES,ETH,1250,Degrading->Balance,16,2.19,8
ES,ETH,1250,Directional->Balance,1,5.00,5
ES,ETH,1300,Unknown->Unresolved,1,5.00,5
ES,ETH,1300,Unresolved->Directional,26,13.88,54
ES,ETH,1300,Directional->Unresolved,6,2.67,7
ES,ETH,1300,Unresolved->Degrading,54,6.00,52
ES,ETH,1300,Degrading->Unresolved,73,1.95,6
ES,ETH,1300,Directional->Degrading,27,2.22,8
ES,ETH,1300,Unresolved->Balance,57,3.53,15
ES,ETH,1300,Balance->Unresolved,58,1.67,7
ES,ETH,1300,Degrading->Directional,8,1.88,3
ES,ETH,1300,Balance->Degrading,16,1.63,5
ES,ETH,1300,Degrading->Balance,16,2.19,8
ES,ETH,1300,Directional->Balance,1,5.00,5
ES,ETH,1350,Unknown->Unresolved,1,5.00,5
ES,ETH,1350,Unresolved->Directional,27,14.19,54
ES,ETH,1350,Directional->Unresolved,7,2.43,7
ES,ETH,1350,Unresolved->Degrading,56,5.84,52
ES,ETH,1350,Degrading->Unresolved,74,1.93,6
ES,ETH,1350,Directional->Degrading,27,2.22,8
ES,ETH,1350,Unresolved->Balance,59,3.95,31
ES,ETH,1350,Balance->Unresolved,60,1.65,7
ES,ETH,1350,Degrading->Directional,8,1.88,3
ES,ETH,1350,Balance->Degrading,16,1.63,5
ES,ETH,1350,Degrading->Balance,17,2.12,8
ES,ETH,1350,Directional->Balance,1,5.00,5
