Instrument,SessionContext,TotalBars,Bucket,Transition,Count
ES,RTH,150,0.00-0.20,Unresolved->Directional,1
ES,RTH,150,0.80-1.00,Unresolved->Directional,1
ES,RTH,150,0.80-1.00,Directional->Degrading,1
ES,RTH,150,0.20-0.40,Unresolved->Balance,1
ES,RTH,200,0.40-0.60,Unknown->Unresolved,2
ES,RTH,200,0.60-0.80,Unresolved->Unknown,1
ES,RTH,200,0.40-0.60,Unresolved->Directional,1
ES,RTH,200,0.40-0.60,Directional->Degrading,1
ES,RTH,200,0.20-0.40,Degrading->Unresolved,4
ES,RTH,200,0.20-0.40,Unresolved->Directional,2
ES,RTH,200,0.60-0.80,Directional->Degrading,4
ES,RTH,200,0.40-0.60,Degrading->Balance,1
ES,RTH,200,0.20-0.40,Balance->Degrading,1
ES,RTH,200,0.40-0.60,Degrading->Unresolved,4
ES,RTH,200,0.60-0.80,Degrading->Unresolved,1
ES,RTH,200,0.00-0.20,Unresolved->Balance,8
ES,RTH,200,0.00-0.20,Balance->Unresolved,8
ES,RTH,200,0.20-0.40,Unresolved->Degrading,4
ES,RTH,200,0.20-0.40,Degrading->Directional,1
ES,RTH,200,0.00-0.20,Degrading->Unresolved,2
ES,RTH,200,0.00-0.20,Unresolved->Directional,1
ES,RTH,200,0.80-1.00,Unresolved->Directional,1
ES,RTH,200,0.80-1.00,Directional->Degrading,1
ES,RTH,200,0.20-0.40,Unresolved->Balance,1
ES,RTH,200,0.20-0.40,Balance->Unresolved,1
ES,RTH,200,0.00-0.20,Unresolved->Degrading,2
ES,RTH,250,0.40-0.60,Unknown->Unresolved,2
ES,RTH,250,0.60-0.80,Unresolved->Unknown,1
ES,RTH,250,0.40-0.60,Unresolved->Directional,1
ES,RTH,250,0.40-0.60,Directional->Degrading,1
ES,RTH,250,0.20-0.40,Degrading->Unresolved,4
ES,RTH,250,0.20-0.40,Unresolved->Directional,2
ES,RTH,250,0.60-0.80,Directional->Degrading,4
ES,RTH,250,0.40-0.60,Degrading->Balance,1
ES,RTH,250,0.20-0.40,Balance->Degrading,1
ES,RTH,250,0.40-0.60,Degrading->Unresolved,4
ES,RTH,250,0.60-0.80,Degrading->Unresolved,1
ES,RTH,250,0.00-0.20,Unresolved->Balance,9
ES,RTH,250,0.00-0.20,Balance->Unresolved,8
ES,RTH,250,0.20-0.40,Unresolved->Degrading,4
ES,RTH,250,0.20-0.40,Degrading->Directional,1
ES,RTH,250,0.00-0.20,Degrading->Unresolved,2
ES,RTH,250,0.00-0.20,Unresolved->Directional,1
ES,RTH,250,0.80-1.00,Unresolved->Directional,1
ES,RTH,250,0.80-1.00,Directional->Degrading,1
ES,RTH,250,0.20-0.40,Unresolved->Balance,1
ES,RTH,250,0.20-0.40,Balance->Unresolved,2
ES,RTH,250,0.00-0.20,Unresolved->Degrading,2
ES,RTH,300,0.40-0.60,Unknown->Unresolved,2
ES,RTH,300,0.60-0.80,Unresolved->Unknown,1
ES,RTH,300,0.40-0.60,Unresolved->Directional,1
ES,RTH,300,0.40-0.60,Directional->Degrading,1
ES,RTH,300,0.20-0.40,Degrading->Unresolved,4
ES,RTH,300,0.20-0.40,Unresolved->Directional,2
ES,RTH,300,0.60-0.80,Directional->Degrading,4
ES,RTH,300,0.40-0.60,Degrading->Balance,2
ES,RTH,300,0.20-0.40,Balance->Degrading,3
ES,RTH,300,0.40-0.60,Degrading->Unresolved,7
ES,RTH,300,0.60-0.80,Degrading->Unresolved,1
ES,RTH,300,0.00-0.20,Unresolved->Balance,11
ES,RTH,300,0.00-0.20,Balance->Unresolved,10
ES,RTH,300,0.20-0.40,Unresolved->Degrading,6
ES,RTH,300,0.20-0.40,Degrading->Directional,1
ES,RTH,300,0.00-0.20,Degrading->Unresolved,2
ES,RTH,300,0.00-0.20,Unresolved->Directional,1
ES,RTH,300,0.80-1.00,Unresolved->Directional,1
ES,RTH,300,0.80-1.00,Directional->Degrading,1
ES,RTH,300,0.20-0.40,Unresolved->Balance,2
ES,RTH,300,0.20-0.40,Balance->Unresolved,3
ES,RTH,300,0.00-0.20,Unresolved->Degrading,3
ES,RTH,300,0.20-0.40,Degrading->Balance,1
ES,RTH,350,0.40-0.60,Unknown->Unresolved,2
ES,RTH,350,0.60-0.80,Unresolved->Unknown,1
ES,RTH,350,0.40-0.60,Unresolved->Directional,2
ES,RTH,350,0.40-0.60,Directional->Degrading,2
ES,RTH,350,0.20-0.40,Degrading->Unresolved,4
ES,RTH,350,0.20-0.40,Unresolved->Directional,3
ES,RTH,350,0.60-0.80,Directional->Degrading,5
ES,RTH,350,0.40-0.60,Degrading->Balance,2
ES,RTH,350,0.20-0.40,Balance->Degrading,3
ES,RTH,350,0.40-0.60,Degrading->Unresolved,8
